cloneId	readCount	readFraction	nLengthFR1	nLengthCDR1	nLengthFR2	nLengthCDR2	nLengthFR3	nMutationsCountFR1Substitutions	nMutationsCountCDR1Substitutions	nMutationsCountFR2Substitutions	nMutationsCountCDR2Substitutions	nMutationsCountFR3Substitutions	nLength	nMutations	SHM_reads
0	8	0.25	75	24	48	24	105	0	1	0	0	1	276	2	16
1	3	0.09375	75	21	51	21	111	0	0	0	0	0	279	0	0
2	2	0.0625	75	30	51	21	111	0	0	0	0	0	288	0	0
3	2	0.0625	75	30	51	21	111	0	1	3	0	0	288	4	8
4	2	0.0625	75	24	48	12	111	0	1	0	0	0	270	1	2
5	1	0.03125	75	21	51	21	111	0	0	0	0	0	279	0	0
6	1	0.03125	75	21	51	21	111	0	0	0	0	0	279	0	0
7	1	0.03125	75	21	51	21	111	0	0	0	0	0	279	0	0
8	1	0.03125	75	21	51	21	111	0	0	0	0	0	279	0	0
9	1	0.03125	75	24	51	24	111	0	0	0	0	0	285	0	0
10	1	0.03125	75	30	51	21	111	0	0	0	0	0	288	0	0
11	1	0.03125	75	30	51	21	111	0	1	1	1	0	288	3	3
12	1	0.03125	75	30	51	21	111	0	0	1	0	0	288	1	1
13	1	0.03125	75	27	51	21	111	0	0	0	0	0	285	0	0
14	1	0.03125	75	24	51	21	111	0	0	0	0	0	282	0	0
15	1	0.03125	75	24	48	12	111	1	1	0	0	1	270	3	3
16	1	0.03125	75	24	48	12	111	0	0	0	0	0	270	0	0
17	1	0.03125	75	24	48	24	111	0	0	0	0	0	282	0	0
18	1	0.03125	75	24	51	24	102	0	0	0	0	0	276	0	0
19	1	0.03125	75	24	48	24	105	0	0	0	0	0	276	0	0
